Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),AI Score (0-100)_reflect_log,AI_High_Performer,text_all,feat_skill_python,feat_skill_sql,feat_skill_excel,feat_skill_tableau,feat_skill_power_bi,feat_skill_project_management,feat_skill_machine_learning,feat_skill_deep_learning,feat_skill_nlp,feat_skill_pandas,feat_skill_numpy,feat_skill_spark,feat_skill_aws,feat_skill_azure,feat_skill_gcp,feat_skill_docker,feat_skill_kubernetes,feat_skill_snowflake,feat_num_skills_matched,feat_degree_bachelor,feat_degree_master,feat_degree_mba,feat_degree_phd,feat_top_degree_level,feat_high_title,feat_job_tech,feat_job_sales,feat_job_marketing,feat_job_finance,feat_job_operations,feat_job_hr,feat_job_product,feat_job_design,feat_cert_aws,feat_cert_pmp,feat_cert_scrum,feat_cert_csm,feat_cert_six_sigma,feat_cert_cfa,feat_cert_cpa,feat_cert_azure,feat_cert_gcp,feat_num_promotions,feat_years_experience_extracted,feat_has_metrics,feat_num_numbers,feat_text_len_chars,feat_text_len_words,feat_num_bullets
11,Laura French,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945,7,70,3.4339872044851463,1,laura french sql java c phd deep learning specialization software engineer hire,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79,12,0
12,Ralph Barrera,"Cybersecurity, Ethical Hacking, Networking",0,MBA,Google ML,Cybersecurity Analyst,Reject,62708,5,50,3.9318256327243257,0,ralph barrera cybersecurity ethical hacking networking mba google ml cybersecurity analyst reject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,12,0
13,David Diaz,"Cybersecurity, Networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,42077,9,65,3.58351893845611,1,david diaz cybersecurity networking m tech deep learning specialization cybersecurity analyst hire,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,12,0
14,Caitlin Myers,"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,Hire,50410,10,100,0.0,1,caitlin myers sql c java b sc deep learning specialization software engineer hire,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,81,13,0
15,Tammy Pineda,"Pytorch, NLP",0,M.Tech,Deep Learning Specialization,AI Researcher,Reject,96555,5,45,4.02535169073515,0,tammy pineda pytorch nlp m tech deep learning specialization ai researcher reject,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,12,0
16,Courtney Cook,"Cybersecurity, Networking",1,PhD,Google ML,Cybersecurity Analyst,Reject,51388,6,60,3.713572066704308,1,courtney cook cybersecurity networking phd google ml cybersecurity analyst reject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81,10,0
17,Megan Brown,"SQL, Python",10,PhD,,Data Scientist,Hire,115364,2,100,0.0,1,megan brown sql python phd nan data scientist hire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,50,9,0
18,Frances Davis MD,"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,,Cybersecurity Analyst,Hire,66379,6,80,3.044522437723423,1,frances davis md linux networking cybersecurity ethical hacking b tech nan cybersecurity analyst hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,101,14,0
19,Jonathon Pineda,"SQL, Python, Deep Learning",3,MBA,,Data Scientist,Hire,112439,10,95,1.791759469228055,1,jonathon pineda sql python deep learning mba nan data scientist hire,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,68,11,0
20,Jennifer Collins,"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,Hire,53167,9,100,0.0,1,jennifer collins machine learning sql python b tech deep learning specialization data scientist hire,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,100,14,0
21,Nichole Welch,"SQL, Java, C++, React",5,B.Sc,,Software Engineer,Hire,57546,4,90,2.3978952727983707,1,nichole welch sql java c react b sc nan software engineer hire,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,62,12,0
22,Amber Davis,"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,Hire,106352,10,100,0.0,1,amber davis python tensorflow pytorch nlp b sc google ml ai researcher hire,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,75,13,0
23,William Clark,"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,Hire,107045,8,100,0.0,1,william clark machine learning deep learning sql mba aws certified data scientist hire,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,86,13,0
24,Taylor Williams,"TensorFlow, Pytorch, NLP, Python",8,MBA,Deep Learning Specialization,AI Researcher,Hire,94384,0,100,0.0,1,taylor williams tensorflow pytorch nlp python mba deep learning specialization ai researcher hire,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,97,13,0
25,Lori Johnson,"Pytorch, TensorFlow, NLP, Python",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,91064,10,80,3.044522437723423,1,lori johnson pytorch tensorflow nlp python b tech deep learning specialization ai researcher hire,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,14,0
26,Roy Huang,"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,68447,10,100,0.0,1,roy huang python nlp b tech deep learning specialization ai researcher hire,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,75,12,0
27,Christopher Ayers,"Ethical Hacking, Cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,76203,2,60,3.713572066704308,1,christopher ayers ethical hacking cybersecurity b sc deep learning specialization cybersecurity analyst reject,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,110,13,0
28,Shaun Gomez,"Pytorch, NLP",1,M.Tech,,AI Researcher,Reject,41731,5,45,4.02535169073515,0,shaun gomez pytorch nlp m tech nan ai researcher reject,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,10,0
29,Claudia Harris,"NLP, Pytorch, Python",10,B.Tech,Google ML,AI Researcher,Hire,119307,2,100,0.0,1,claudia harris nlp pytorch python b tech google ml ai researcher hire,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,69,12,0
30,Steven Thomas,"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,Hire,59926,4,100,0.0,1,steven thomas sql python b tech aws certified data scientist hire,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,65,11,0
31,Abigail Watts,"Python, SQL",4,PhD,,Data Scientist,Hire,84679,10,100,0.0,1,abigail watts python sql phd nan data scientist hire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,52,9,0
32,Logan Mcclure,"Ethical Hacking, Networking, Linux",1,B.Sc,,Cybersecurity Analyst,Hire,58606,10,75,3.258096538021482,1,logan mcclure ethical hacking networking linux b sc nan cybersecurity analyst hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,12,0
33,Elizabeth Serrano,"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,Hire,51283,4,100,0.0,1,elizabeth serrano deep learning machine learning sql python m tech aws certified data scientist hire,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,100,15,0
34,Maria Glover,"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,99521,4,100,0.0,1,maria glover tensorflow python pytorch b sc deep learning specialization ai researcher hire,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,91,13,0
35,Sandra Juarez,"Networking, Linux, Ethical Hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,47001,10,75,3.258096538021482,1,sandra juarez networking linux ethical hacking m tech deep learning specialization cybersecurity analyst hire,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,14,0
36,Bradley Cruz,"NLP, Pytorch",7,PhD,AWS Certified,AI Researcher,Hire,92104,6,100,0.0,1,bradley cruz nlp pytorch phd aws certified ai researcher hire,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,61,10,0
37,Darrell Wilkinson,"Python, NLP",7,M.Tech,Google ML,AI Researcher,Hire,80936,3,100,0.0,1,darrell wilkinson python nlp m tech google ml ai researcher hire,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,64,11,0
38,Jason Flores,"C++, SQL, Java",5,B.Tech,Google ML,Software Engineer,Hire,97505,7,100,0.0,1,jason flores c sql java b tech google ml software engineer hire,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,63,12,0
39,Denise Harper,"Linux, Cybersecurity",7,PhD,,Cybersecurity Analyst,Hire,106469,0,80,3.044522437723423,1,denise harper linux cybersecurity phd nan cybersecurity analyst hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,68,9,0
40,Kim Blake,"SQL, Python",1,MBA,AWS Certified,Data Scientist,Hire,52364,8,70,3.4339872044851463,1,kim blake sql python mba aws certified data scientist hire,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,58,10,0
41,Lindsey Jackson,"C++, React",10,MBA,AWS Certified,Software Engineer,Hire,101108,9,100,0.0,1,lindsey jackson c react mba aws certified software engineer hire,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,64,10,0
42,Frances Salazar,"Networking, Linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,51200,10,80,3.044522437723423,1,frances salazar networking linux m tech aws certified cybersecurity analyst hire,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,80,11,0
43,Justin Ross,"NLP, TensorFlow, Python",3,M.Tech,,AI Researcher,Hire,66403,10,95,1.791759469228055,1,justin ross nlp tensorflow python m tech nan ai researcher hire,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,63,11,0
44,Denise Ramirez,"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,Hire,50397,8,70,3.4339872044851463,1,denise ramirez machine learning python mba deep learning specialization data scientist hire,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,12,0
45,Tanya West,"SQL, Python, Machine Learning",4,M.Tech,AWS Certified,Data Scientist,Hire,95486,6,95,1.791759469228055,1,tanya west sql python machine learning m tech aws certified data scientist hire,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,79,13,0
46,Ryan Peters,"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,72756,4,90,2.3978952727983707,1,ryan peters sql java b sc aws certified software engineer hire,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,62,11,0
47,Terry Burns,"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,Hire,50602,9,100,0.0,1,terry burns sql java c react mba aws certified software engineer hire,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,69,12,0
48,Christopher Stevenson,"Python, Machine Learning",8,PhD,Google ML,Data Scientist,Hire,103477,9,100,0.0,1,christopher stevenson python machine learning phd google ml data scientist hire,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,79,11,0
49,David Nash,"React, SQL, Java",1,MBA,Deep Learning Specialization,Software Engineer,Hire,46437,9,80,3.044522437723423,1,david nash react sql java mba deep learning specialization software engineer hire,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81,12,0
50,Christopher Nicholson,"Pytorch, Python",5,B.Tech,Deep Learning Specialization,AI Researcher,Hire,89338,1,75,3.258096538021482,1,christopher nicholson pytorch python b tech deep learning specialization ai researcher hire,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,91,12,0
51,Kenneth Skinner,"Python, NLP, TensorFlow, Pytorch",5,PhD,,AI Researcher,Hire,45488,9,100,0.0,1,kenneth skinner python nlp tensorflow pytorch phd nan ai researcher hire,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,72,11,0
52,Dalton Smith,"Ethical Hacking, Cybersecurity, Linux",9,M.Tech,,Cybersecurity Analyst,Hire,55058,3,100,0.0,1,dalton smith ethical hacking cybersecurity linux m tech nan cybersecurity analyst hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,86,12,0
53,James Bailey,"SQL, Deep Learning, Machine Learning",1,MBA,,Data Scientist,Reject,54006,4,45,4.02535169073515,0,james bailey sql deep learning machine learning mba nan data scientist reject,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77,12,0
54,William Hill,"Python, SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,82004,2,100,0.0,1,william hill python sql machine learning b sc google ml data scientist hire,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,75,13,0
55,James Jones,"Python, SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,Reject,112663,7,60,3.713572066704308,1,james jones python sql machine learning b tech aws certified data scientist reject,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,13,0
56,Danielle Drake,"Cybersecurity, Networking, Ethical Hacking",1,B.Sc,Google ML,Cybersecurity Analyst,Reject,56827,4,55,3.828641396489095,1,danielle drake cybersecurity networking ethical hacking b sc google ml cybersecurity analyst reject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,13,0
57,Rachel Wheeler,"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,Hire,49367,3,75,3.258096538021482,1,rachel wheeler c java sql react b sc google ml software engineer hire,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,69,13,0
58,April Flores,"Networking, Cybersecurity, Ethical Hacking, Linux",1,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,86274,3,55,3.828641396489095,1,april flores networking cybersecurity ethical hacking linux b sc aws certified cybersecurity analyst reject,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,107,14,0
59,Ruth Oconnell,"TensorFlow, Pytorch",2,B.Sc,,AI Researcher,Reject,62312,1,35,4.189654742026425,0,ruth oconnell tensorflow pytorch b sc nan ai researcher reject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,62,10,0
60,Sarah Kane,"Java, React",6,PhD,Google ML,Software Engineer,Hire,80278,4,100,0.0,1,sarah kane java react phd google ml software engineer hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,58,10,0
61,Rebecca Wagner,"Python, Pytorch",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,71804,10,70,3.4339872044851463,1,rebecca wagner python pytorch b tech deep learning specialization ai researcher hire,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,12,0
62,Laura Howell,"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,,Data Scientist,Hire,72780,9,100,0.0,1,laura howell sql deep learning machine learning python b sc nan data scientist hire,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,83,14,0
63,Kevin Miller,"Machine Learning, Deep Learning, Python",9,M.Tech,Google ML,Data Scientist,Hire,84443,3,100,0.0,1,kevin miller machine learning deep learning python m tech google ml data scientist hire,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,87,14,0
64,Joanna Foster,"C++, React, Java, SQL",9,M.Tech,,Software Engineer,Hire,99057,8,100,0.0,1,joanna foster c react java sql m tech nan software engineer hire,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,64,12,0
65,Steven Bell II,"Deep Learning, Python, Machine Learning, SQL",10,MBA,Deep Learning Specialization,Data Scientist,Hire,63516,2,100,0.0,1,steven bell ii deep learning python machine learning sql mba deep learning specialization data scientist hire,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,109,16,0
66,Cynthia Simmons,"Java, React, C++",1,PhD,,Software Engineer,Reject,62647,3,40,4.110873864173311,0,cynthia simmons java react c phd nan software engineer reject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61,10,0
